state,year,total,D,R,party,pv2p,last_pv2p,winner,incumbent,incumbent_party
Georgia,1988,1809672,714792,1081331,democrat,39.796383655239644,39.802179851860195,FALSE,FALSE,FALSE
Georgia,1992,2321133,1008966,995252,republican,49.657871548903366,60.203616344760356,FALSE,TRUE,TRUE
Georgia,1992,2321133,1008966,995252,democrat,50.342128451096634,39.796383655239644,TRUE,FALSE,FALSE
Georgia,1996,2298899,1053849,1080843,republican,50.63226919855417,49.657871548903366,FALSE,FALSE,FALSE
Georgia,1996,2298899,1053849,1080843,democrat,49.36773080144583,50.342128451096634,TRUE,TRUE,TRUE
Georgia,2000,2583208,1116230,1419720,republican,55.983753622902654,50.63226919855417,TRUE,FALSE,FALSE
Georgia,2000,2583208,1116230,1419720,democrat,44.01624637709734,49.36773080144583,FALSE,FALSE,TRUE
Georgia,2004,3301875,1366149,1914254,republican,58.35423269640956,55.983753622902654,TRUE,TRUE,TRUE
Georgia,2004,3301875,1366149,1914254,democrat,41.64576730359044,44.01624637709734,FALSE,FALSE,FALSE
Georgia,2008,3924486,1844123,2048759,republican,52.62833551081179,58.35423269640956,FALSE,FALSE,TRUE
Georgia,2008,3924486,1844123,2048759,democrat,47.37166448918821,41.64576730359044,TRUE,FALSE,FALSE
Georgia,2012,3897839,1773827,2078688,republican,53.95664909805672,52.62833551081179,FALSE,FALSE,FALSE
Georgia,2012,3897839,1773827,2078688,democrat,46.04335090194328,47.37166448918821,TRUE,TRUE,TRUE
Georgia,2016,4114732,1877963,2089104,republican,52.66117259930322,53.95664909805672,TRUE,FALSE,FALSE
Georgia,2016,4114732,1877963,2089104,democrat,47.338827400696786,46.04335090194328,FALSE,FALSE,TRUE
Hawaii,1988,354461,192364,158625,republican,45.19372401984108,55.703724217649395,TRUE,FALSE,TRUE
Hawaii,1988,354461,192364,158625,democrat,54.80627598015892,44.296275782350605,FALSE,FALSE,FALSE
Hawaii,1992,372842,179310,136822,republican,43.280022269178694,45.19372401984108,FALSE,TRUE,TRUE
Hawaii,1992,372842,179310,136822,democrat,56.719977730821306,54.80627598015892,TRUE,FALSE,FALSE
